,OutdoorUV,OutdoorVisibleRay_Lux,OutdoorTemperature_C,OutdoorHumidity_pct,OutdoorPressure_hPa,IndoorUV,IndoorVisibleRay_Lux,IndoorTemperature_C,IndoorHumidity_pct,IndoorPressure_hPa
0,4.21,51624.113281,30.68,27.867188,1012.76,0.07,925.531921,27.26,33.154297,1011.81
1,4.2,51675.53125,30.63,27.899414,1012.79,0.07,771.276611,27.26,33.232422,1011.79
2,4.24,52035.460938,30.76,27.81543,1012.74,0.05,668.439697,27.29,33.145508,1011.78
3,4.23,51984.042969,30.75,27.78125,1012.74,0.05,617.021301,27.3,33.145508,1011.78
4,4.24,51881.207031,30.87,27.731445,1012.7,0.05,617.021301,27.29,33.123047,1011.72
5,4.25,52138.296875,31.05,27.583984,1012.8,0.04,668.439697,27.3,33.112305,1011.8
6,4.26,52189.714844,31.18,27.477539,1012.8,0.05,565.602844,27.3,33.112305,1011.78
7,4.26,52138.296875,31.32,27.337891,1012.69,0.04,565.602844,27.31,33.113281,1011.76
8,4.27,52292.554688,31.38,27.261719,1012.7,0.04,514.184387,27.31,33.091797,1011.8
9,4.26,52343.972656,31.43,27.401367,1012.74,0.04,565.602844,27.31,33.080078,1011.75
10,4.26,52292.554688,31.47,27.108398,1012.74,0.04,617.021301,27.31,33.079102,1011.79
11,4.28,52652.480469,31.47,27.051758,1012.74,0.04,617.021301,27.31,33.080078,1011.75
12,4.28,52652.480469,31.42,27.00293,1012.75,0.05,668.439697,27.32,33.069336,1011.74
13,4.29,52755.320312,31.4,27.058594,1012.7,0.05,719.858154,27.32,33.069336,1011.7
14,4.31,52755.320312,31.51,26.962891,1012.71,0.05,822.695007,27.32,33.058594,1011.73
15,4.31,52806.738281,31.54,26.942383,1012.74,0.06,771.276611,27.32,33.036133,1011.72
16,4.31,52909.574219,31.56,26.875,1012.75,0.05,874.113464,27.33,33.047852,1011.72
17,4.32,52806.738281,31.46,26.84668,1012.77,0.06,874.113464,27.32,33.025391,1011.73
18,4.32,52909.574219,31.34,26.941406,1012.7,0.07,976.950378,27.33,33.026367,1011.74
19,4.31,52909.574219,31.36,26.862305,1012.72,0.07,976.950378,27.33,33.136719,1011.77
20,4.32,52960.992188,31.49,26.881836,1012.71,0.07,1079.787231,27.32,33.024414,1011.7
21,4.33,52960.992188,31.41,26.84375,1012.79,0.08,976.950378,27.32,33.024414,1011.75
22,4.32,52909.574219,31.33,26.895508,1012.69,0.07,976.950378,27.31,33.036133,1011.75
23,4.32,53012.410156,31.39,26.750977,1012.74,0.08,1028.368774,27.3,33.035156,1011.76
24,4.32,53012.410156,31.53,26.850586,1012.7,0.08,1079.787231,27.3,33.045898,1011.8
25,4.32,52909.574219,31.48,26.676758,1012.71,0.09,1079.787231,27.3,33.035156,1011.75
26,4.31,52858.15625,31.39,26.865234,1012.76,0.08,1079.787231,27.29,33.112305,1011.78
27,4.32,52858.15625,31.16,26.964844,1012.72,0.09,1028.368774,27.29,33.056641,1011.78
28,4.31,52806.738281,30.89,27.165039,1012.7,0.08,1079.787231,27.29,33.079102,1011.78
29,4.31,52858.15625,30.81,27.295898,1012.7,0.09,1079.787231,27.29,33.067383,1011.79
30,4.3,52703.902344,30.63,27.432617,1012.85,0.09,1028.368774,27.28,33.166992,1011.75
31,4.31,52806.738281,30.45,27.604492,1012.77,0.08,1028.368774,27.28,33.067383,1011.73
32,4.31,52960.992188,30.33,27.766602,1012.83,0.07,874.113464,27.28,33.078125,1011.76
33,4.3,52909.574219,30.3,27.822266,1012.85,0.07,771.276611,27.29,33.079102,1011.79
34,4.32,53115.25,30.23,27.918945,1012.74,0.07,771.276611,27.28,33.123047,1011.73
35,4.33,53218.085938,30.19,27.985352,1012.78,0.07,668.439697,27.28,33.078125,1011.78
36,4.32,53012.410156,30.15,28.049805,1012.77,0.06,822.695007,27.27,33.177734,1011.82
37,4.34,53218.085938,30.13,28.105469,1012.74,0.06,771.276611,27.27,33.210938,1011.72
38,4.35,53115.25,30.02,28.15625,1012.76,0.05,719.858154,27.27,33.088867,1011.75
39,4.34,53269.503906,30.01,28.200195,1012.75,0.06,668.439697,27.27,33.077148,1011.78
40,4.35,53372.339844,29.99,28.255859,1012.76,0.06,565.602844,27.27,32.988281,1011.76
41,4.35,53372.339844,29.92,28.274414,1012.77,0.05,668.439697,27.28,33.088867,1011.78
42,4.35,53423.757812,29.94,28.320312,1012.79,0.06,668.439697,27.27,33.088867,1011.78
43,4.37,53578.015625,29.9,28.363281,1012.76,0.06,719.858154,27.26,33.098633,1011.73
44,4.37,53629.433594,29.84,28.416016,1012.8,0.05,668.439697,27.26,33.121094,1011.72
45,4.38,53732.269531,29.76,28.457031,1012.77,0.06,668.439697,27.26,33.009766,1011.69
46,4.38,53578.015625,29.7,28.566406,1012.81,0.07,822.695007,27.26,33.110352,1011.75
47,4.38,53783.6875,29.68,28.666992,1012.8,0.07,874.113464,27.26,33.110352,1011.78
48,4.38,53680.851562,29.69,28.65625,1012.78,0.06,874.113464,27.26,33.054688,1011.76
49,4.39,53937.941406,29.63,28.652344,1012.78,0.07,822.695007,27.25,33.109375,1011.79
50,4.4,53937.941406,29.62,28.708008,1012.81,0.07,874.113464,27.25,33.108398,1011.72
51,4.4,53886.523438,29.62,28.720703,1012.78,0.07,822.695007,27.24,33.120117,1011.81
52,4.4,54195.035156,29.57,28.761719,1012.81,0.07,925.531921,27.25,33.120117,1011.75
53,4.4,53989.363281,29.51,28.826172,1012.79,0.08,925.531921,27.26,33.098633,1011.75
54,4.4,54040.78125,29.47,28.755859,1012.79,0.08,925.531921,27.25,33.130859,1011.81
55,4.4,53989.363281,29.44,29.00293,1012.76,0.08,1028.368774,27.25,33.275391,1011.79
56,4.41,53989.363281,29.45,28.935547,1012.79,0.08,874.113464,27.25,33.086914,1011.78
57,4.4,53937.941406,29.42,28.978516,1012.78,0.08,1079.787231,27.26,33.109375,1011.76
58,4.4,53989.363281,29.4,29.0,1012.76,0.08,1079.787231,27.26,33.121094,1011.75
59,4.41,53937.941406,29.36,29.008789,1012.8,0.08,1028.368774,27.26,33.110352,1011.75
60,4.4,53989.363281,29.24,29.057617,1012.8,0.08,1079.787231,27.27,33.099609,1011.85
61,4.4,53989.363281,29.31,29.084961,1012.76,0.08,1131.205688,27.26,33.110352,1011.73
62,4.4,53989.363281,29.31,29.095703,1012.77,0.09,1028.368774,27.25,32.975586,1011.78
63,4.39,53835.105469,29.31,29.129883,1012.83,0.08,1028.368774,27.27,33.077148,1011.82
64,4.4,53937.941406,29.33,29.176758,1012.82,0.09,1131.205688,27.25,33.098633,1011.75
65,4.38,53937.941406,29.26,28.979492,1012.77,0.08,1079.787231,27.25,33.097656,1011.81
66,4.39,53835.105469,29.1,28.980469,1012.74,0.09,1028.368774,27.25,33.108398,1011.74
67,4.4,53732.269531,29.1,29.083008,1012.77,0.08,1182.624146,27.24,33.108398,1011.75
68,4.39,53783.6875,29.23,28.921875,1012.79,0.09,1028.368774,27.24,33.119141,1011.74
